18:17:51.683382 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:51.685423 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:51.704946 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:51.705173 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:51.711618 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:52.193614 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:52.193972 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:52.214482 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:52.214789 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:52.214982 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:52.215174 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:52.701487 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:52.704061 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:52.723353 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:52.723603 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:52.730283 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:53.208896 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:53.209144 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:53.230279 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:53.230511 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:53.230692 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:53.230707 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:53.717066 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:53.717339 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:53.738715 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:53.738775 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:53.738918 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:53.738969 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:54.225662 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:54.226449 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:54.247222 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:54.247501 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:54.247969 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:54.248199 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
